round#,blacksmith,woodcutter,farmer,refiner,worker,miner
0,0.0,0.25500000000000256,0.0,-1.2749999999999915,0.5099999999999998,-0.08500000000000323
1,-0.26009999999999894,-0.6298499999999905,0.3850499999999961,0.0,0.7599,-0.3399999999999987
2,0.0,0.2720340000000121,-8.670000000066125E-4,-0.7802999999999969,0.5099999999999998,-0.26009999999999894
3,-1.2515753599999992,0.5641280000000037,0.3494067799999989,-0.03085704000000078,1.0199999999999996,-0.26009999999999894
4,-1.2244445023999997,-0.11000518666666892,0.4200077800000024,-0.13853400899047585,1.0199999999999996,0.10394892317460365
5,-0.23827376178977033,-0.4175748124335996,-0.16435131243359535,0.1469761599708903,0.5099999999999998,0.3468000000000018
6,-1.0150864312825405,0.890119999999996,0.38311633500000397,-0.6574773930911562,-0.010200000000000209,0.13681044897959302
7,-0.7646439713068863,0.5137042433333363,0.3608097566666615,0.1891267428095489,0.3594814144444438,-0.3616017237036999
8,-0.8485178034089197,-0.2591593711111102,0.6646779566666652,0.5443939494267624,0.3539592666666671,-0.28238405232592356
9,-0.6459832313305327,-0.18294725597771588,0.4813513450000002,-0.570808518137838,0.732049551666667,-0.17161725308281936
10,-1.0132967114260698,-0.4505687146296182,0.6719018327777704,0.7059164392643709,0.6852683188888884,-0.27434428153859375
11,-0.5825178605530349,0.27791289169061884,0.26217265981431126,0.36723492551428194,0.6781103181825845,-0.5268061342862703
12,-0.4495041395598207,-0.15119781348062844,0.27785228458478173,-0.03845898628370037,0.6456598326984127,-0.23778725727051153
13,-0.682242201241498,0.05403832829898647,0.20203618585840388,0.3373406859867032,0.6976546047138594,-0.2007148972405067
14,-0.6285346853429749,0.24514496478015246,-0.014301373264107298,0.40991393980421265,0.7462060528276329,-0.14993547531147064
15,-0.6032700234799032,-0.9056721324352566,1.050199310842597,-0.9590345872706791,0.7567299765201003,-0.3780227579432231
16,-0.6851082936712913,0.11809805374039684,0.4107058387788243,-0.6905359040245571,0.49840945646739243,-0.04332586349747677
17,-0.08646653012700749,0.41227612313407036,-0.21341732621441167,-1.8398885775021796,0.7128836119048287,0.2342126675543502
18,-1.0347259884161844,0.0774740934739242,0.2984407675179952,1.9043002858372233,0.5874740934739187,-0.4412605881854432
19,0.2524483978644885,0.1380831923705017,0.023634268920886825,-2.933752062062453,0.6480831923704997,0.16984567443448384
20,-0.36186933227132556,0.14813066772867955,0.3206079968139761,-0.36186933227132556,0.6581306677286776,-0.4824924430284341
21,-0.0756592824419234,-0.3267628277833836,0.3888491748037488,-0.775683770377853,0.6321581148110766,-0.3878418851889194
22,-0.321457733465607,0.3178114161568928,0.07187320039681921,-0.2981257225620766,0.6518782447273281,-0.321457733465607
23,-0.2655135566798634,-0.3897981597325426,0.405568494752341,-0.4298654398216968,0.672310501749223,-0.3202975177271412
24,-0.2884739082983761,0.0029945260170194388,0.13756903066283854,-0.26370903778656896,0.7191436564457181,-0.2884739082983761
25,-0.28483697055250445,0.09949275319233664,0.07276270263642104,-0.26250602519104405,0.7239975567667685,-0.27367149787177425
26,-0.43405495122438253,-0.1877480754893881,0.5735373643970689,-0.468827448284415,0.5772519245106125,-0.43405495122438253
27,-0.06726973944441757,-0.7743465571353667,0.49680409643811885,-0.37945234219141355,0.640547657808586,-0.37945234219141355
28,-1.0242385615326082,-0.1762162598936996,0.6945974940741131,1.4474665817373307,0.4980952992744623,-0.5989663173991554
29,-0.7056948944038149,0.5182444476298969,0.38354255100897916,-0.7150973518181729,0.5106750434492753,-0.2532757170548763
30,-0.5339774561193925,0.3941932049665411,-0.18149002473916553,-0.031779738941850155,0.7014238781989501,0.05614601330857264
31,-0.2965725654134512,0.24879497889698143,0.09819203800753229,-2.790567806693673,0.7322693206641517,0.441796250593877
32,-0.38992401231057744,0.033223178611038406,0.3933392117861594,-2.160855882300666,0.5881197186927771,0.17152842582671704
33,-0.04418243944925848,-0.040846923295156046,0.015547765988049633,-0.4198042478912072,0.6790552006504385,-0.26208535080792217
34,0.06195732672394646,0.11786464919208584,-0.2245101607624882,-0.2604274136601532,0.7590745095672844,-0.2604274136601532
35,-0.4770550748891509,-0.7155826123337263,0.9211652246674547,-0.4770550748891509,0.5429449251108522,-0.4770550748891509
36,-0.05716329399056974,-0.15770615042299596,0.13334977815362947,-0.31528683986084616,0.6073252148232893,-0.31528683986084616
37,-1.78848996333159,0.08243030184074485,0.13912498100439308,4.0739733952366635,0.717769674240003,-0.28846779380698234
38,-0.3476482700006945,-0.03951266792012831,-0.15842412527647554,-0.6541220086087378,0.7318354765495911,0.31537256748594206
39,-0.3709567327302305,-0.28152401915758674,0.5339497546353869,-1.3417992624686121,0.7458596143457115,-0.20326691608615968
40,0.3784817107748921,-0.5058072062304575,0.07831287300291123,-1.209006878951513,0.616627968713658,-0.15377709011706506
41,-2.076475386623192,0.32396723767197955,0.11797958815321508,5.0478244812696005,0.5575165633143797,-0.35109475866186796
42,-0.27346057272558727,0.024532921521235096,0.015080852513676746,-0.36045396992665246,0.6534116378761397,-0.07845894691534265
43,-0.31203388275087224,0.14536198585171434,0.28798958499504224,-0.8304690563299317,0.6420854837627914,-0.3200941915422059
44,-0.3366067403341191,-0.05908528909961319,0.32249598331660323,-0.8271979999696129,0.7441774903526124,-0.2743833716001518
45,0.20129221818955045,0.3530126427409783,-0.393201940203074,-0.8234872295749511,0.7238176367936191,-0.12041407441686165
46,0.2273395166852339,-0.4153322392702279,-0.06256491892309057,-0.2688728592457039,0.7441628306671291,-0.27351573263714596
